strain	virus	gisaid_epi_isl	date	region	country	division
hCoV-19/Netherlands/un-EMC-746/2020	betacoronavirus	EPI_ISL_523502	2020-06-11	Europe	Netherlands	NA
hCoV-19/Netherlands/UT-EMC-55/2020	betacoronavirus	EPI_ISL_523532	2020-06-03	Europe	Netherlands	Utrecht
hCoV-19/Netherlands/ZH-EMC-230/2020	betacoronavirus	EPI_ISL_523572	2020-05-09	Europe	Netherlands	Zuid-Holland
hCoV-19/Netherlands/ZH-EMC-278/2020	betacoronavirus	EPI_ISL_523620	2020-06-18	Europe	Netherlands	Zuid-Holland
hCoV-19/Netherlands/ZH-EMC-288/2020	betacoronavirus	EPI_ISL_523630	2020-06-26	Europe	Netherlands	Zuid-Holland
hCoV-19/Netherlands/ZH-EMC-340/2020	betacoronavirus	EPI_ISL_523681	2020-06-26	Europe	Netherlands	Zuid-Holland
hCoV-19/Russia/SPE-RII-21056V/2020	betacoronavirus	EPI_ISL_524031	2020-06-04	Europe	Russia	Saint Petersburg
hCoV-19/India/GJ-GBRC-374b/2020	betacoronavirus	EPI_ISL_524731	2020-06-15	Asia	India	Gujarat
hCoV-19/Ireland/MH-U-MAY-000324/2020	betacoronavirus	EPI_ISL_5248254	2020-04-02	Europe	Ireland	Meath
hCoV-19/France/ARA-06391/2020	betacoronavirus	EPI_ISL_525536	2020-03-06	Europe	France	Auvergne-Rhone-Alpes
hCoV-19/Italy/APU-UniMI-141PT/2020	betacoronavirus	EPI_ISL_525555	2020-04-07	Europe	Italy	Apulia
hCoV-19/Scotland/EDB5973/2020	betacoronavirus	EPI_ISL_526487	2020-05-04	Europe	United Kingdom	Scotland
hCoV-19/England/201861242/2020	betacoronavirus	EPI_ISL_526772	2020-04-29	Europe	United Kingdom	England
hCoV-19/Australia/NSW2545/2020	betacoronavirus	EPI_ISL_527046	2020-04-04	Oceania	Australia	New South Wales
hCoV-19/Singapore/863/2020	betacoronavirus	EPI_ISL_527372	2020-04-12	Asia	Singapore	NA
hCoV-19/DRC/11031/2020	betacoronavirus	EPI_ISL_527554	2020-05-24	Africa	Democratic Republic of the Congo	Kinshasa
hCoV-19/Nigeria/OY636-CV192/2020	betacoronavirus	EPI_ISL_527915	2020-06-17	Africa	Nigeria	Oyo
hCoV-19/Switzerland/BS-UHB-42167340/2020	betacoronavirus	EPI_ISL_527916	2020-02-26	Europe	Switzerland	Basel-Stadt
hCoV-19/Switzerland/BS-UHB-42183137/2020	betacoronavirus	EPI_ISL_527966	2020-03-09	Europe	Switzerland	Basel-Stadt
hCoV-19/Switzerland/BL-UHB-42187456/2020	betacoronavirus	EPI_ISL_528023	2020-03-11	Europe	Switzerland	Basel-Landschaft
hCoV-19/Switzerland/BL-UHB-42191742/2020	betacoronavirus	EPI_ISL_528110	2020-03-15	Europe	Switzerland	Basel-Landschaft
hCoV-19/Switzerland/BL-UHB-42192277/2020	betacoronavirus	EPI_ISL_528126	2020-03-15	Europe	Switzerland	Basel-Landschaft
hCoV-19/Switzerland/BL-UHB-42192855/2020	betacoronavirus	EPI_ISL_528131	2020-03-16	Europe	Switzerland	Basel-Landschaft
hCoV-19/Switzerland/BL-UHB-42197574/2020	betacoronavirus	EPI_ISL_528215	2020-03-18	Europe	Switzerland	Basel-Landschaft
hCoV-19/Switzerland/BL-UHB-42201781/2020	betacoronavirus	EPI_ISL_528313	2020-03-21	Europe	Switzerland	Basel-Landschaft
hCoV-19/UnitedArabEmirates/38/2020	betacoronavirus	EPI_ISL_528698	2020-05-12	Asia	United Arab Emirates	Abu Dhabi
hCoV-19/UnitedArabEmirates/H12/2020	betacoronavirus	EPI_ISL_528711	2020-04-26	Asia	United Arab Emirates	Abu Dhabi
hCoV-19/Malaysia/MGI-M64/2020	betacoronavirus	EPI_ISL_528740	2020-04-02	Asia	Malaysia	Selangor
hCoV-19/Malaysia/MGI-MAEPS54/2020	betacoronavirus	EPI_ISL_528743	2020-06-04	Asia	Malaysia	Selangor
hCoV-19/England/BHRT-24B38DD/2020	betacoronavirus	EPI_ISL_528795	2020-05-20	Europe	United Kingdom	England
hCoV-19/Greece/235_31783/2020	betacoronavirus	EPI_ISL_529147	2020-03-07	Europe	Greece	Athens
hCoV-19/England/BIRM-61D15/2020	betacoronavirus	EPI_ISL_529606	2020-03-26	Europe	United Kingdom	England
hCoV-19/England/BIRM-61E21/2020	betacoronavirus	EPI_ISL_529612	2020-03-26	Europe	United Kingdom	England
hCoV-19/Scotland/EDB6935/2020	betacoronavirus	EPI_ISL_529692	2020-04-03	Europe	United Kingdom	Scotland
hCoV-19/Spain/MD-HLP-50/2020	betacoronavirus	EPI_ISL_530053	2020-04-20	Europe	Spain	Madrid
hCoV-19/Spain/MD-HLP-79/2020	betacoronavirus	EPI_ISL_530076	2020-05-05	Europe	Spain	Madrid
hCoV-19/Spain/MD-HLP-92/2020	betacoronavirus	EPI_ISL_530088	2020-05-03	Europe	Spain	Madrid
hCoV-19/Spain/MD-HLP-94/2020	betacoronavirus	EPI_ISL_530090	2020-05-13	Europe	Spain	Madrid
hCoV-19/Spain/MD-H12-R19/2020	betacoronavirus	EPI_ISL_530096	2020-03-13	Europe	Spain	Madrid
hCoV-19/Switzerland/BS-UHB-42185807/2020	betacoronavirus	EPI_ISL_530122	2020-03-11	Europe	Switzerland	Basel-Stadt
hCoV-19/Australia/QLD969/2020	betacoronavirus	EPI_ISL_530233	2020-04-08	Oceania	Australia	Queensland
hCoV-19/Australia/QLD1013/2020	betacoronavirus	EPI_ISL_530273	2020-03-27	Oceania	Australia	Queensland
hCoV-19/England/QEUH-5EF1C3/2020	betacoronavirus	EPI_ISL_533226	2020-06-16	Europe	United Kingdom	England
hCoV-19/England/QEUH-5E65B1/2020	betacoronavirus	EPI_ISL_533308	2020-06-16	Europe	United Kingdom	England
hCoV-19/NorthernIreland/QEUH-5E5330/2020	betacoronavirus	EPI_ISL_533316	2020-06-17	Europe	United Kingdom	Northern Ireland
hCoV-19/England/QEUH-5DE4A0/2020	betacoronavirus	EPI_ISL_533321	2020-06-17	Europe	United Kingdom	England
hCoV-19/England/QEUH-543BDE/2020	betacoronavirus	EPI_ISL_533348	2020-05-15	Europe	United Kingdom	England
hCoV-19/England/QEUH-54590F/2020	betacoronavirus	EPI_ISL_533368	2020-05-14	Europe	United Kingdom	England
hCoV-19/England/QEUH-54DDB0/2020	betacoronavirus	EPI_ISL_533398	2020-05-12	Europe	United Kingdom	England
hCoV-19/England/QEUH-54D749/2020	betacoronavirus	EPI_ISL_533402	2020-05-12	Europe	United Kingdom	England
hCoV-19/England/OXON-B28BA/2020	betacoronavirus	EPI_ISL_534779	2020-04-15	Europe	United Kingdom	England
hCoV-19/England/OXON-B35C1/2020	betacoronavirus	EPI_ISL_534870	2020-03-24	Europe	United Kingdom	England
hCoV-19/England/OXON-B36EC/2020	betacoronavirus	EPI_ISL_534880	2020-04-04	Europe	United Kingdom	England
hCoV-19/England/OXON-B46BE/2020	betacoronavirus	EPI_ISL_534966	2020-04-03	Europe	United Kingdom	England
